,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_revolution,battery,webcam,weight,price,screen_pixels,screen_width,screen_height
176,Laptop Asus ZenBook UP3404VA-KN039W (i7 1360P/16GB RAM/512GB SSD/14 Oled Cảm ứng/Win11/Bút/Cáp/Túi/Xanh),Asus,Intel,i7,16,16,intel,SSD,512,Windows 11,14.0,FHD,75.0,1,1.27 ,28349000,2880x1800,2880,1800
177,Laptop HP Pavilion 14-dv2069TU (7C0P1PA) (i3 1215U/8GB RAM/256GB SSD/14 FHD/Win11/Vàng),HP,Intel,i3,8,16,intel,SSD,256,Windows 11,14.0,FHD,41.0,1,1.6 ,12199000,1920x1080,1920,1080
178,Laptop HP 250 G8 (85C69EA) (i5 1135G7/8GB RAM/256GB SSD/15.6 FHD/Dos/Bạc)(NK_Bảo hành tại HACOM),HP,Intel,i5,8,16,intel,SSD,512,Windows 11,15.6,FHD,41.0,1,1.74 ,11299000,1920x1080,1920,1080
179,Laptop HP Pavilion 14-dv2076TU(7C0P4PA) (i5 1235U/8GB RAM/256GB SSD/14 FHD/Win11/Vàng),HP,Intel,i5,8,16,intel,SSD,256,Windows 11,14.0,FHD,41.0,1,1.6 ,15299000,1920x1080,1920,1080
180,Laptop HP Pavilion 15-eg3098TU (8C5L9PA) (i3 1315U/8GB RAM/256GB SSD/15.6 FHD/Win11/Vàng),HP,Intel,i3,8,16,intel,SSD,256,Windows 11,15.6,FHD,41.04,1,1.68 ,12599000,1920x1080,1920,1080
181,Laptop Lenovo Thinkbook 16 Gen 6 (21KH00BVVN) (i5 13500H/32GB RAM/1TB SSD/16 WUXGA/Win11/Xám),Lenovo,Intel,i5,32,64,intel,SSD,1024,Windows 11,16,WUXGA,71.0,1,1.7 ,21299000,1920x1200,1920,1200
182,Laptop Asus VivoBook A1505ZA-L1245W (i5 12500H/8GB RAM/512GB SSD/15.6 OLED/Win11/Bạc),Asus,Intel,i5,8,16,intel,SSD,512,Windows 11,15.6,FHD,50.0,1,1.70 ,15299000,1920x1080,1920,1080
183,Laptop Lenovo Thinkpad E14 Gen 5 (i5 1340P/16GB RAM/512GB SSD/14.0 WUXGA/Dos/ Đen),Lenovo,Intel,i5,8,40,intel,SSD,512,Windows 11,14,WUXGA,47.0,1,1.43 ,19599000,1920x1200,1920,1200
184,Laptop Lenovo Thinkpad E16 Gen 1 (21JN005RVN) (i5 1340P/16GB RAM/512GB SSD/16 WUXGA/Win/Đen),Lenovo,Intel,i5,16,40,intel,SSD,512,Windows 11,16,WUXGA,47.0,1,1.81 ,20299000,1920x1200,1920,1200
185,Laptop Acer Aspire 3 A315-59-381E (NX.K6TSV.006) (i3 1215U/8GB RAM/512GB SSD/15.6 inch FHD/Win 11/Bạc),Acer,Intel,i3,8,32,intel,SSD,512,Windows 11,15.6,FHD,40.0,1,1.7,9999000,1920x1080,1920,1080
